method,corruption,severity,seed,accuracy,error_rate,n_samples,timestamp
no_adaptation,gaussian_noise,1,,85.74,14.26,10000,2026-08-30T08:00:48.321109+00:00
no_adaptation,gaussian_noise,3,,52.86,47.14,10000,2026-08-30T08:01:10.935335+00:00
no_adaptation,gaussian_noise,5,,36.87,63.13,10000,2026-08-30T08:01:35.978858+00:00
no_adaptation,defocus_blur,1,,92.57,7.43,10000,2026-08-30T08:02:00.411059+00:00
no_adaptation,defocus_blur,3,,87.86,12.14,10000,2026-08-30T08:02:24.458451+00:00
no_adaptation,defocus_blur,5,,65.41,34.59,10000,2026-08-30T08:02:48.338932+00:00
no_adaptation,snow,1,,88.43,11.57,10000,2026-08-30T08:03:12.571622+00:00
no_adaptation,snow,3,,83.18,16.82,10000,2026-08-30T08:03:36.819156+00:00
no_adaptation,snow,5,,79.99,20.01,10000,2026-08-30T08:04:00.856733+00:00
no_adaptation,brightness,1,,92.77,7.23,10000,2026-08-30T08:04:25.112599+00:00
no_adaptation,brightness,3,,91.59,8.41,10000,2026-08-30T08:04:56.268827+00:00
no_adaptation,brightness,5,,87.98,12.02,10000,2026-08-30T08:05:30.200709+00:00
no_adaptation,contrast,1,,91.98,8.02,10000,2026-08-30T08:06:03.045223+00:00
no_adaptation,contrast,3,,79.16,20.84,10000,2026-08-30T08:06:35.595541+00:00
no_adaptation,contrast,5,,19.77,80.23,10000,2026-08-30T08:07:07.971614+00:00
no_adaptation,jpeg_compression,1,,89.11,10.89,10000,2026-08-30T08:07:40.265709+00:00
no_adaptation,jpeg_compression,3,,84.83,15.17,10000,2026-08-30T08:08:12.245938+00:00
no_adaptation,jpeg_compression,5,,80.52,19.48,10000,2026-08-30T08:08:44.939373+00:00
